Ni (wt%),Co (wt%),Cr (wt%),Temperature_C,avg_hardness (HV),std_hardness,,,,,
25.85913351,38.78850258,35.35236391,25,255.3511911,10.59563,,,,,
25.85913351,38.78850258,35.35236391,400,148.2050127,5.88164,,,,,
25.85913351,38.78850258,35.35236391,600,138.210684,3.61193,,,,,
32.02847483,19.41274837,48.5587768,25,276.054747,10.65219,,,,,
32.02847483,19.41274837,48.5587768,400,182.9457641,10.97743,,,,,
32.02847483,19.41274837,48.5587768,600,170.2505554,11.35221,,,,,
35.89907023,13.94248399,50.15844578,25,266.517236,20.32953,,,,,
35.89907023,13.94248399,50.15844578,400,164.4478083,13.25433,,,,,
35.89907023,13.94248399,50.15844578,600,155.43998,15.22356,,,,,
22.79128627,49.27558009,27.93313364,25,276.7932938,21.30087,,,,,
22.79128627,49.27558009,27.93313364,400,165.8694902,15.56759,,,,,
22.79128627,49.27558009,27.93313364,600,161.6715645,8.44519,,,,,  
17.15937533,43.44126123,39.39936344,25,352.3727895,23.21897,,,,,
11.86562589,61.59797057,26.53640354,25,301.7799977,21.11788,,,,,
11.86562589,61.59797057,26.53640354,400,241.5615701,19.18653,,,,,
11.86562589,61.59797057,26.53640354,600,215.5635655,8.68445,,,,,
