composition,Ni (wt %),Co (wt %),Cr (wt %),Hot Cracking,Have,dT/d(sqrt(fs),BCC_B2,FCC_L12,MagpieData mean Number,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,2-norm,avg d valence electrons,Configuration entropy,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min
,74.11,8.23,17.66,0,197.66,16.83672326,0.0,1.0,27.14,57.4066101,1819.3400000000001,127.085,1.85885,1.805,0.7550165561098644,7.334999999999999,-0.0062686211844881125,-0.06688425115371531,0.003661093964712169,-0.0879920408421346
,67.1,7.46,25.45,0,223.7,35.44404311,0.0,1.0,26.816,56.84881584,1856.536,128.31400000000002,1.83834,1.722,0.710611004699477,7.094000000000001,-0.0068617488318891305,-0.08635538307914122,-0.011566449430155602,-0.10806725640632549
,60.09,6.68,33.24,0,229.24,62.55133611,0.0,1.0,26.496000000000006,56.297718880000005,1893.2800000000002,129.52800000000002,1.81808,1.64,0.6822550842610117,6.856000000000001,-0.007162272369611797,-0.10054619510210383,-0.02177338772334762,-0.11917252925492292
,53.08,5.9,41.03,0,224.42,55.04461214,0.001545228,0.998454772,26.184,55.76001652,1929.1200000000001,130.71200000000002,1.79832,1.56,0.6713806669840888,6.6240000000000006,-0.007216354670133069,-0.10723057615723924,-0.025767459507434663,-0.11037438754151564
,46.07,5.12,48.82,0,326.62,11.02563769,0.293111566,0.706888434,25.875999999999998,55.229011459999995,1964.5080000000003,131.881,1.77881,1.4809999999999999,0.6776090318170206,6.395,-0.0070550116357283735,-0.10576494540292776,-0.023333464676280242,-0.09260600885470659
,39.06,4.34,56.6,1,488.24,48.99002617,0.691212455,0.308787545,25.576,54.711400999999995,1998.992,133.01999999999998,1.7597999999999998,1.404,0.6995083988059042,6.172000000000001,-0.006693207777218894,-0.09692457006776084,-0.015132178865766718,-0.06428983566348344
,32.05,3.56,64.39,1,628.41,162.7112786,0.831142526,0.168857474,25.283,54.207424935000006,2032.612,134.131,1.74126,1.329,0.7341294163837873,5.954000000000001,-0.006157681293107252,-0.08265465501922568,-0.0025422786143772824,-0.05769442844077548
,25.04,2.78,72.18,1,698.465,315.8981708,0.88975,0.11025,24.991,53.703209075000004,2066.192,135.24,1.72275,1.254,0.7807573246534419,5.737,-0.00539059595884952,-0.06490384939796387,0.013275686203125915,-0.048511257663238876
,18.03,2.0,79.97,1,768.56,496.8309323,0.94031,0.05969,24.706706706706708,53.21384535535535,2098.8268268268266,136.31831831831832,1.7047547547547546,1.1811811811811812,0.8351114445620731,5.525525525525525,-0.004421871707610147,-0.046222808287005875,0.03050996241612721,-0.03729467972820734
,40.91,40.91,18.18,0,159.0,20.46820091,0.0,1.0,26.796999999999997,57.442920904999994,1834.8120000000001,127.81299999999999,1.8477800000000002,1.7990000000000002,0.5996682416136443,6.998,-0.008776337950680042,-0.08905331706875633,-0.013344609356235031,-0.09694359964040873
,36.87,36.87,26.26,0,225.62,35.63866091,0.0,1.0,26.495999999999995,56.856641919999994,1871.964,129.017,1.8275699999999997,1.7129999999999999,0.5801327434303291,6.7829999999999995,-0.009092663207040845,-0.11145744939294658,-0.0303811614352996,-0.11361884219788812
,32.83,32.83,34.34,0,231.04,79.90044226,0.0,1.0,26.199800199800205,56.279713716283716,1908.523476523477,130.2017982017982,1.8076823176823178,1.6283716283716285,0.5792526195640888,6.571428571428571,-0.009106905112715452,-0.11891417818676425,-0.03564295193938901,-0.10869289932669148
,28.79,28.79,42.42,0,238.82,34.97914734,0.006361414,0.993638586,25.908,55.711352739999995,1944.54,131.36900000000003,1.78809,1.5450000000000002,0.5962700730373779,6.3629999999999995,-0.00886984071118141,-0.11422361075282196,-0.03144680072850876,-0.094678267899071
,24.75,24.75,50.51,0,320.44,5.297740909,0.55004,0.44996,25.626373626373624,55.16281022977023,1979.3006993006993,132.4955044955045,1.769180819180819,1.4645354645354645,0.6281873658768844,6.161838161838162,-0.00841892246283262,-0.10200011897344315,-0.021141787743647528,-0.07150598378796202
,20.71,20.71,58.59,1,624.6,87.37496399,0.796635443,0.203364557,25.348,54.62060114,2013.66,133.609,1.7504899999999999,1.385,0.6725607779227094,5.963,-0.007759616380792662,-0.08584529273447886,-0.00722050277615543,-0.06415494504913749
,16.67,16.67,66.67,1,837.82,214.7302965,0.903892048,0.096107952,25.075,54.08885973499999,2047.3559999999998,134.701,1.73216,1.307,0.7262052051589826,5.768,-0.006896245063445162,-0.0684396146814956,0.008406284584312515,-0.05452222764266964
,12.63,12.63,74.75,1,866.18,395.5552122,0.958146182,0.041853818,24.805,53.564055425,2080.6400000000003,135.78,1.71405,1.23,0.786987928751134,5.575,-0.005808993404816816,-0.051034127041465045,0.02483042519835866,-0.04301194247125131
,8.59,8.59,82.83,1,918.2,560.5770235,0.980626416,0.019373584,24.543,53.052645715,2113.02,136.829,1.69644,1.155,0.8520786348688717,5.388,-0.00447891411339728,-0.034468082862980115,0.04126360476205423,-0.03028659155954528
,8.18,73.64,18.18,0,318.04,15.31801913,0.0,1.0,26.476999999999997,57.519655305,1847.612,128.453,1.83818,1.799,0.7508408619674345,6.677999999999999,-0.0063331607791782514,-0.05751756045394024,0.013663531979081035,-0.07081732510391849
,7.37,66.36,26.26,0,357.0,52.72119668,0.0,1.0,26.207,56.91828619499999,1883.816,129.602,1.8187699999999998,1.712,0.7063044669262682,6.494999999999999,-0.006912014399744941,-0.06959700933516068,0.004444884327682382,-0.07064379397045294
,6.57,59.09,34.34,1,494.5,51.98509552,0.027355,0.972645,25.947000000000003,56.337488575,1918.7440000000001,130.71,1.80005,1.628,0.6793953193833471,6.319,-0.007188307174807253,-0.07752569595962379,-0.0008037287692515637,-0.06473473267922808
,5.76,51.82,42.42,1,563.76,5.704993369,0.282715,0.717285,25.689999999999998,55.763628049999994,1953.2599999999998,131.805,1.7815499999999997,1.5450000000000002,0.6709321873334145,6.145,-0.0072112143000135735,-0.0800632087239666,-0.0015323163905788951,-0.05370913827754585
,4.95,44.55,50.51,1,632.0,41.95050582,0.80564,0.19436,25.439,55.203641714999996,1986.952,132.874,1.76349,1.464,0.6807304899885123,5.975,-0.007006253334761316,-0.07678131166805292,0.0023583286778640204,-0.05158104407221041
,4.14,37.27,58.59,1,633.02,134.3899048,0.927525,0.072475,25.19280719280719,54.65487079920079,2019.98001998002,133.92207792207793,1.7457842157842158,1.3846153846153846,0.7068897467630497,5.8081918081918085,-0.00658804918316301,-0.06845486804913742,0.010254897627960623,-0.04729298317345052
,3.33,30.0,66.67,1,640.78,253.7207488,0.9674,0.0326,24.948999999999998,54.111417425,2052.688,134.96,1.72825,1.306,0.7471425566784428,5.643,-0.005954603887667169,-0.05646540162901664,0.021224123401478966,-0.04106743891967
,2.53,22.73,74.75,1,698.465,397.7189023,0.984565,0.015435,24.713,53.586116565,2084.32,135.964,1.71129,1.23,0.7976703579800367,5.483,-0.005105173666585072,-0.042814881380433364,0.03387466312313793,-0.0332354997619246
,1.72,15.45,82.83,1,768.56,557.3616891,1.0,0.0,24.481,53.067513004999995,2115.5,136.953,1.6945799999999998,1.155,0.8565056917499146,5.326,-0.004013687696072338,-0.0288196933661847,0.04733264990016395,-0.024019649486870884
